emotion,precision,recall,f1-score,support
angry,0.0,0.0,0.0,80.0
disgust,0.0,0.0,0.0,80.0
fear,0.0,0.0,0.0,80.0
happy,0.0,0.0,0.0,80.0
neutral,0.0,0.0,0.0,80.0
pleasant surprise,0.14285714285714285,1.0,0.25,80.0
sad,0.0,0.0,0.0,80.0
accuracy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
macro avg,0.02040816326530612,0.14285714285714285,0.03571428571428571,560.0
weighted avg,0.02040816326530612,0.14285714285714285,0.03571428571428571,560.0
